cmaEs	differentialEvolution	es-0.02	es-0.25	es-0.5	ga-0.02	ga-0.25	ga-0.5	pso
340	1290	780	480	5430	2100	3100	9600	9600
340	1140	780	480	5580	2100	3100	9600	9600
425	1440	780	480	9930	2100	2600	9600	9600
425	1215	780	630	9930	2100	2600	9600	9600
425	765	780	480	9630	2100	2600	9600	9600
425	1215	780	480	8430	2600	2600	9600	9600
425	1440	780	480	6930	2100	2600	9600	9600
510	1065	780	480	1980	2100	3100	9600	9600
425	990	780	480	930	2100	2600	9600	9600
510	1890	780	480	4680	2100	2600	9600	9600
1020	6240	9780	2880	2130	9600	8100	6100	9100
1105	8265	9930	3030	2130	9600	8100	6100	9600
1020	9390	9930	2880	2130	9600	8100	6100	6600
1105	7365	9930	3030	2130	9600	8100	6100	9600
1020	9165	9930	2880	1980	9600	8100	6100	9600
1020	9990	9930	3030	2130	9600	8100	6100	9600
1105	8190	9630	3030	2130	9600	8100	6100	9600
1020	9990	9930	2880	2130	9600	8600	6100	9600
1020	5715	9780	2880	1980	9600	8100	6100	9600
1020	7815	9930	2880	2130	9600	8100	6100	9600
1020	4665	9930	3030	2280	9600	8100	6100	9600
1105	8190	9930	3030	2280	9600	8600	6100	9600
935	7065	9780	2880	2130	9600	8100	6100	9600
1020	6765	9780	2880	2130	9600	8100	6100	6100
1105	5940	9780	3030	2130	9600	8600	6100	6600
1105	5940	9780	2880	2130	9600	8100	6100	9600
1020	9990	9930	3030	2130	9600	8100	6100	9600
1020	9990	9930	3030	2130	9600	8100	6100	9600
1020	9165	9780	2880	1980	9600	8100	6100	9600
1020	6840	9930	3030	2130	9600	8600	6100	9600
935	7515	9930	3030	2130	9600	8100	6100	9600
1020	9990	9930	2880	2130	9600	8100	6100	9600
935	6615	9630	2880	2130	9600	8100	6100	9600
1020	8490	9780	2880	2130	9600	8100	6100	9600
1020	7740	9930	2880	2130	9600	8100	6100	9600
1020	5415	9780	3030	2130	9600	8100	6100	9600
1020	9990	9930	3030	2280	9600	8100	6100	9600
1020	5490	9930	3030	2130	9600	8100	6100	9600
1020	9990	9930	3030	2130	9600	8100	6100	9600
1020	6540	9930	2880	2130	9600	8100	6100	9600
360	615	630	1230	9930	1600	9600	9600	2100
360	690	630	4830	9930	2100	4100	9600	4100
420	615	480	1080	9930	1600	9600	9600	2100
360	840	630	2430	9930	2100	7600	9600	2100
300	540	630	630	9930	1600	5600	9600	2100
360	690	630	2730	9930	1600	5100	9600	2600
360	765	630	1680	9930	1600	4100	9600	2600
300	615	630	480	9930	1600	3600	9600	2100
300	765	630	930	9930	1600	7600	9600	3600
360	615	630	1980	9930	1600	7600	9600	2100
300	690	630	780	9930	1600	9600	9600	3100
420	615	480	630	9930	1600	4100	9600	4100
420	690	480	1530	9930	1600	6100	9600	2100
300	690	630	1980	9930	1600	4100	9600	3100
